Neighbourhood Name,Agincourt South-Malvern West,Agincourt North,Milliken,Morningside Heights,Malvern West,Malvern East
"    $80,000 to $89,999",620,585,525,610,295,545
"    $90,000 to $99,999",470,480,335,475,230,510
"    $100,000 and over",1070,955,770,1030,395,725
"      $100,000 to $149,999",800,780,605,850,345,605
"      $150,000 and over",270,175,160,180,50,120
Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 25% sample data,21160,24135,20760,20860,14490,22175
  Without after-tax income,1155,1195,1175,1105,805,1130
  With after-tax income,20010,22940,19585,19755,13680,21045
"    Under $10,000 (including loss)",2275,2515,2215,2040,1540,2025
"    $10,000 to $19,999",3125,4060,3730,3020,2410,3390
"    $20,000 to $29,999",4475,5660,5000,3935,2955,4620
"    $30,000 to $39,999",3190,3695,3095,3375,2405,3450
"    $40,000 to $49,999",2295,2520,2000,2620,1805,3020
"    $50,000 to $59,999",1610,1675,1255,1770,1140,1880
"    $60,000 to $69,999",1100,1010,920,1175,580,1115
"    $70,000 to $79,999",780,750,535,685,390,665
"    $80,000 to $89,999",465,480,305,470,235,435
"    $90,000 to $99,999",260,245,225,280,105,210
"    $100,000 and over",435,335,305,390,115,240
"      $100,000 to $124,999",265,225,200,290,80,155
"      $125,000 and over",175,110,110,100,40,85
Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 25% sample data,21160,24135,20760,20860,14490,22175
  Without employment income,7440,9385,8380,6545,4930,7735
  With employment income,13720,14750,12375,14315,9555,14445
"    Under $5,000 (including loss)",2215,2885,2485,1935,1635,2255
"    $5,000 to $9,999",1730,1965,1930,1630,1070,1595
"    $10,000 to $19,999",1755,1900,1770,1780,1345,1840
"    $20,000 to $29,999",1190,1405,1135,1390,965,1395
"    $30,000 to $39,999",1340,1495,1030,1505,1080,1525
"    $40,000 to $49,999",1215,1200,1005,1435,1000,1480
"    $50,000 to $59,999",1045,1125,800,1250,875,1355
"    $60,000 to $69,999",800,705,560,900,520,990
"    $70,000 to $79,999",720,560,475,730,300,595
"    $80,000 to $89,999",480,425,360,530,265,445
"    $90,000 to $99,999",390,395,265,395,170,375
"    $100,000 and over",835,685,560,835,320,590
"      $100,000 to $124,999",500,480,330,500,210,390
"      $125,000 and over",335,205,230,340,110,205
Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,21160,24135,20760,20860,14490,22175
  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,19740,22550,19400,19085,13310,20450
    Median total income in 2019 among recipients ($),28200,26400,24400,31200,27800,30200
    Average total income in 2019 among recipients ($),37520,35120,33840,38760,33400,36240
  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,19740,22555,19410,19085,13310,20450
    Median after-tax income in 2019 among recipients ($),26800,25400,23600,29200,26400,28600
    Average after-tax income in 2019  among recipients ($),32680,30960,30000,33800,30000,32160
  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,16985,18845,16245,16050,11115,17015
    Median market income in 2019 among recipients ($),28000,26000,23000,32800,28200,30000
    Average market income in 2019 among recipients ($),37200,34160,32560,39360,32680,35480
  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,13610,14935,12425,14360,9445,14650
    Median employment income in 2019 among recipients ($),32000,29000,26200,34000,31000,32800
    Average employment income in 2019 among recipients ($),39400,35560,34680,40480,34800,36840
  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,18055,20735,18015,17565,12290,18830
    Median government transfers in 2019 among recipients ($),1460,2300,2360,1680,2060,2200
    Average government transfers in 2019 among recipients ($),6055,7130,7100,6125,6640,7300
  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,1035,1240,1040,1170,795,1325
    Median employment insurance benefits in 2019 among recipients ($),6200,6120,6850,5640,4760,5640
    Average employment insurance benefits in 2019 among recipients ($),7140,7520,7880,7180,6240,7000
Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,100,100,100,100,100,100
  Market income (%),85.2,81.4,80.6,85.4,81.6,81.4
    Employment income (%),72.4,67.2,65.6,78.6,74,72.8
  Government transfers (%),14.8,18.7,19.5,14.6,18.4,18.6
    Employment insurance benefits (%),1,1.2,1.3,1.1,1.1,1.3
Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,3765,2890,2580,1320,1620,2710
  Median total income in 2020 ($),33200,25800,24200,30200,32400,30000
  Average total income in 2020 ($),43400,33120,30720,36600,39320,38360
  Median after-tax income in 2020 ($),30800,24400,23400,29600,30000,28600
  Average after-tax income in 2020 ($),36480,29120,27600,32200,34440,33720
Total - LIM low-income status in 2020 for the population in private households - 25% sample data,24170,27535,23980,24940,17315,26095
  0 to 17 years,3630,4105,3810,5005,3465,4760
    0 to 5 years,1125,1185,1195,1430,990,1340
  18 to 64 years,16060,17000,14620,16225,11325,16810
  65 years and over,4480,6435,5550,3705,2525,4525
"In low income based on the Low-income measure, after tax (LIM-AT)",3150,3400,3505,1425,1680,3065
  0 to 17 years,390,555,740,400,370,740
    0 to 5 years,125,175,225,170,100,220
  18 to 64 years,1985,1665,1705,800,930,1430
  65 years and over,780,1180,1060,220,385,890
"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",13,12.4,14.6,5.7,9.7,11.7
  0 to 17 years (%),10.6,13.5,19.3,8,10.6,15.6
    0 to 5 years (%),11.2,14.6,18.8,11.6,10.2,16.4
  18 to 64 years (%),12.4,9.8,11.7,4.9,8.2,8.5
  65 years and over (%),17.4,18.3,19.1,6,15.3,19.7
Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 25% sample data,24170,27540,23980,24940,17320,26095
  0 to 17 years,3630,4100,3810,5005,3465,4760
    0 to 5 years,1125,1180,1195,1425,995,1340
  18 to 64 years,16060,17005,14615,16230,11330,16805
  65 years and over,4475,6435,5550,3705,2525,4530
"In low income based on the Low-income cut-offs, after tax (LICO-AT)",2215,2240,2310,1025,1060,1595
  0 to 17 years,245,295,385,220,165,305
    0 to 5 years,55,85,105,80,70,85
  18 to 64 years,1665,1540,1555,725,815,1035
  65 years and over,305,405,375,80,85,250
"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",9.2,8.1,9.6,4.1,6.1,6.1
  0 to 17 years (%),6.8,7.1,10.1,4.4,4.8,6.5
    0 to 5 years (%),5,7.3,9,5.7,7,6.2
  18 to 64 years (%),10.4,9.1,10.6,4.5,7.2,6.2
  65 years and over (%),6.8,6.3,6.7,2.2,3.4,5.6
Total - Adjusted after-tax family income decile group for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  In bottom half of the distribution,14795,15935,15125,10940,10630,14490
    In bottom decile,3185,3410,3720,1515,1690,2670
    In second decile,2995,3295,3890,1625,2000,3100
    In third decile,3185,3580,2740,2385,2500,2995
    In fourth decile,2645,3095,2480,2680,2290,2765
    In fifth decile,2785,2560,2290,2735,2155,2960
  In top half of the distribution,9380,11600,8855,14000,6690,11605
    In sixth decile,2115,3060,2335,2975,1990,2880
    In seventh decile,2080,2635,1750,3290,1630,2895
    In eighth decile,1930,2495,1875,3150,1500,2335
    In ninth decile,1910,2075,1715,3060,1085,2525
    In top decile,1335,1340,1180,1530,480,970
Total - Inequality measures for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Gini index on adjusted household total income,0.3,0.3,0.3,0.2,0.3,0.3
  Gini index on adjusted household market income,0.5,0.5,0.5,0.4,0.4,0.4
  Gini index on adjusted household after-tax income,0.3,0.3,0.3,0.2,0.2,0.2
  P90/P10 ratio on adjusted household after-tax income,3.6,3.4,3.4,2.8,3,3.4
Total - Occupied private dwellings by structural type of dwelling - 25% sample data,8895,9090,7585,6530,5110,8565
  Single-detached house,2760,3315,3885,3885,1215,2250
  Semi-detached house,350,795,555,705,655,645
  Row house,490,1500,615,1170,1405,2150
  Apartment or flat in a duplex,635,590,460,725,545,730
  Apartment in a building that has fewer than five storeys,650,670,90,25,305,320
  Apartment in a building that has five or more storeys,3935,2195,1945,0,930,2435
  Other single-attached house,70,15,25,10,65,30
  Movable dwelling,0,0,0,0,0,0
Total - Private households by household size - 25% sample data,8895,9095,7585,6530,5110,8565
  1 person,2050,1505,1125,540,705,1610
  2 persons,2725,2605,2170,1100,1125,2205
  3 persons,1720,1875,1580,1280,1010,1635
  4 persons,1290,1575,1295,1615,1010,1605
  5 or more persons,1110,1535,1415,1995,1250,1510
Average household size,2.7,3,3.2,3.8,3.4,3.1
Total - Household type - 25% sample data,8895,9095,7585,6530,5110,8565
  One-census-family households without additional persons,5015,5310,4465,3980,3175,5150
    Couple-family households,4095,4310,3605,3405,2480,3890
      With children,2310,2605,2150,2710,1850,2600
      Without children,1785,1710,1455,690,630,1285
    One-parent-family households,915,995,860,575,700,1260
  Multigenerational households,625,965,910,1220,540,770
  Multiple-census-family households,145,225,200,175,110,185
  One-census-family households with additional persons,520,730,585,430,290,485
  Two-or-more-person non-census-family households,545,365,300,185,280,370
  One-person households,2050,1505,1125,540,705,1610
Total - Income statistics for private households - 25% sample data,8890,9090,7585,6535,5115,8560
  Median total income of household in 2020 ($),79500,84000,81000,117000,88000,85000
  Average total income of household in 2020 ($),93600,97100,95000,127000,99000,97700
  Median after-tax income of household in 2020 ($),71500,76500,74000,105000,80000,77500
  Average after-tax income of household in 2020 ($),81000,85700,84700,110800,88800,86600
Total - Income statistics for one-person private households - 25% sample data,2055,1500,1125,545,710,1610
  Median total income of one-person households in 2020 ($),43600,32000,28600,44400,41200,34400
  Average total income of one-person households in 2020 ($),54800,44400,40700,55000,48900,44240
  Median after-tax income of one-person households in 2020 ($),39600,29800,27600,40400,37600,32400
  Average after-tax income of one-person households in 2020 ($),44560,38000,35900,46600,41800,38440
Total - Income statistics for two-or-more-persons private households - 25% sample data,6840,7585,6460,5990,4405,6955
  Median total income of two-or-more-person households in 2020 ($),92000,95000,90000,123000,95000,98000
  Average total income of two-or-more-person households in 2020 ($),105200,107500,104400,133400,107100,110100
  Median after-tax income of two-or-more-person households in 2020 ($),83000,86000,82000,110000,87000,89000
  Average after-tax income of two-or-more-person households in 2020 ($),91900,95100,93100,116600,96400,97800
Total - Household total income groups in 2020 for private households - 25% sample data,8890,9090,7585,6535,5115,8565
"  Under $5,000",210,115,120,30,30,45
"  $5,000 to $9,999",65,35,25,0,25,25
"  $10,000 to $14,999",95,85,40,20,40,80
"  $15,000 to $19,999",105,95,130,50,65,115
"  $20,000 to $24,999",315,445,345,70,105,400
"  $25,000 to $29,999",270,240,200,60,110,190
"  $30,000 to $34,999",300,285,305,135,180,380
"  $35,000 to $39,999",310,335,285,150,140,210
"  $40,000 to $44,999",315,420,275,90,130,250
"  $45,000 to $49,999",355,320,275,120,160,375
"  $50,000 to $59,999",705,690,640,305,390,590
"  $60,000 to $69,999",705,695,605,315,490,635
"  $70,000 to $79,999",725,565,510,435,400,635
"  $80,000 to $89,999",590,580,525,380,380,620
"  $90,000 to $99,999",600,555,410,405,400,545
"  $100,000 and over",3230,3640,2900,3960,2065,3465
"    $100,000 to $124,999",1095,1210,1030,1015,695,1175
"    $125,000 to $149,999",845,830,590,855,470,900
"    $150,000 to $199,999",720,1030,730,1270,565,815
"    $200,000 and over",570,575,555,815,325,575
Total - Household after-tax income groups in 2020 for private households - 25% sample data,8890,9090,7585,6535,5115,8565
"  Under $5,000",240,120,120,35,30,50
"  $5,000 to $9,999",75,40,25,0,25,30
"  $10,000 to $14,999",100,75,50,30,45,80
"  $15,000 to $19,999",115,105,140,40,65,120
"  $20,000 to $24,999",350,470,355,70,130,405
"  $25,000 to $29,999",260,255,195,80,115,245
"  $30,000 to $34,999",365,315,360,155,160,365
"  $35,000 to $39,999",310,420,305,155,155,220
"  $40,000 to $44,999",400,405,270,70,185,370
"  $45,000 to $49,999",435,370,365,195,215,360
"  $50,000 to $59,999",895,785,730,375,450,795
"  $60,000 to $69,999",770,770,655,370,535,670
"  $70,000 to $79,999",760,630,615,455,420,755
"  $80,000 to $89,999",705,710,500,490,475,625
"  $90,000 to $99,999",595,580,550,510,380,635
"  $100,000 and over",2520,3030,2350,3490,1720,2845
"    $100,000 to $124,999",1100,1210,885,1145,660,1190
"    $125,000 to $149,999",575,860,575,930,505,785
"    $150,000 and over",850,960,885,1415,550,875
Total - Private households by tenure - 25% sample data,8890,9090,7585,6535,5115,8565
  Owner,6190,7135,6670,5515,3770,6010
  Renter,2700,1950,910,1010,1345,2560
"  Dwelling provided by the local government, First Nation or Indian band",0,0,0,0,0,0
Total - Occupied private dwellings by condominium status - 25% sample data,8890,9090,7585,6535,5115,8565
  Condominium,4060,2415,2100,480,1605,2970
  Not condominium,4830,6675,5485,6045,3505,5590
Total - Occupied private dwellings by number of bedrooms - 25% sample data,8890,9090,7585,6535,5115,8565
  No bedrooms,45,40,40,35,45,30
  1 bedroom,1430,895,535,270,440,1050
  2 bedrooms,2680,1850,1615,550,1060,1940
  3 bedrooms,2300,2840,2510,1875,1725,3070
  4 or more bedrooms,2440,3470,2890,3800,1850,2475
Total - Occupied private dwellings by number of rooms - 25% sample data,8890,9090,7585,6535,5115,8565
  1 to 4 rooms,4155,3045,2335,1170,1695,3330
  5 rooms,1235,1470,1375,1260,955,1685
  6 rooms,1010,1470,1245,1240,875,1395
  7 rooms,870,1115,955,925,710,1010
  8 or more rooms,1630,1990,1675,1945,870,1140
Average number of rooms per dwelling,5.2,5.7,5.8,6.5,5.6,5.3
Total - Private households by number of persons per room - 25% sample data,8890,9090,7585,6535,5115,8565
  One person or fewer per room,8340,8390,6970,5840,4565,7860
  More than one person per room,560,700,615,695,550,700
Total - Private households by housing suitability - 25% sample data,8890,9090,7585,6535,5115,8565
  Suitable,7835,7885,6695,5585,4095,7160
  Not suitable,1055,1205,890,945,1020,1400
Total - Occupied private dwellings by period of construction - 25% sample data,8890,9090,7585,6535,5115,8565
  1960 or before,875,345,115,85,310,340
  1961 to 1980,3110,4760,1845,200,2285,3070
  1981 to 1990,1620,1835,3925,1060,1050,2660
  1991 to 2000,590,910,1215,835,520,1430
  2001 to 2005,255,710,180,2915,645,260
  2006 to 2010,415,355,195,915,130,265
  2011 to 2015,1080,35,100,390,90,190
  2016 to 2021,955,150,15,130,80,350
Total - Occupied private dwellings by dwelling condition - 25% sample data,8890,9090,7585,6535,5115,8565
  Only regular maintenance and minor repairs needed,8325,8640,7260,6275,4765,8035
  Major repairs needed,570,450,320,260,350,525
Total - Private households by number of household maintainers - 25% sample data,8890,9090,7585,6535,5115,8565
  One-maintainer household,4445,3975,3425,2265,2310,4055
  Two-maintainer household,3410,3830,3175,2940,1905,3360
  Three-or-more-maintainer household,1040,1285,985,1325,900,1150
Total - Private households by age of primary household maintainers - 25% sample data,8890,9090,7585,6535,5115,8565
  15 to 24 years,280,115,85,60,85,130
  25 to 34 years,1445,630,565,485,400,830
  35 to 44 years,1370,1035,945,1030,925,1290
  45 to 54 years,1410,1650,1340,1540,1090,1770
  55 to 64 years,1970,2245,1785,1890,1320,2000
  65 to 74 years,1355,1935,1600,1090,830,1520
  75 to 84 years,700,1020,855,375,395,740
  85 years and over,360,470,410,50,75,285
Total - Occupied private dwellings by housing indicators - 25% sample data,8890,9090,7585,6535,5115,8565
  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',4155,3865,3165,2645,2510,3955
    Spending 30% or more of income on shelter costs only,2610,2270,2005,1485,1215,2180
    Not suitable only,770,920,585,745,765,1050
    Major repairs needed only,310,275,145,145,195,225
    'Spending 30% or more of income on shelter costs' and 'not suitable',205,225,255,155,190,200
    'Spending 30% or more of income on shelter costs' and 'major repairs needed',170,115,120,70,85,145
    'Not suitable' and 'major repairs needed',60,55,30,40,45,150
    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',30,0,20,0,20,0
  Acceptable housing,4745,5225,4420,3885,2600,4605
"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",8800,9035,7535,6520,5100,8550
  Spending less than 30% of income on shelter costs,5790,6420,5135,4810,3590,6025
  Spending 30% or more of income on shelter costs,3010,2615,2400,1715,1510,2530
    30% to less than 100%,2610,2345,2105,1625,1400,2370
"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings by core housing need - 25% sample data",8405,8765,7240,6430,4990,8390
  In core need,1655,1710,1430,700,950,1665
  Not in core need,6750,7055,5805,5735,4040,6720
"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",6190,7135,6670,5515,3770,6010
  % of owner households with a mortgage,55.7,49.3,48.7,74.1,72.4,71.2
  % of owner households spending 30% or more of its income on shelter costs,31.5,27.3,31.7,25.5,28.4,27.7
  % in core housing need,17.6,16.3,18.8,8.4,14.4,14.4
  Median monthly shelter costs for owned dwellings ($),1460,1100,1140,2100,1760,1680
  Average monthly shelter costs for owned dwellings ($),1646,1508,1538,2088,1736,1738
  Median value of dwellings ($),750000,800000,850000,900000,700000,675000
  Average value of dwellings ($),799000,807000,822000,929000,684000,659000
"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",2705,1955,915,1015,1340,2555
  % of tenant households in subsidized housing,6.1,7.7,9.8,12.3,10.4,30.3
  % of tenant households spending 30% or more of its income on shelter costs,40.6,35,33.3,30.8,32.7,33.9
  % in core housing need,24.7,31.6,26.9,24.5,32.4,32.8
  Median monthly shelter costs for rented dwellings ($),1660,1480,1400,1540,1300,1300
  Average monthly shelter costs for rented dwellings ($),1554,1370,1380,1640,1408,1279
"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",0,0,0,0,0,0
"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",...,...,...,...,...,...
"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",...,...,...,...,...,...
"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",...,...,...,...,...,...
Total - Census families in private households by family size - 25% sample data,6800,8025,7005,6855,4610,7200
  2 persons,3365,3750,3185,2210,1655,2955
  3 persons,1715,2090,1970,1720,1160,1830
  4 persons,1240,1635,1345,2010,1080,1590
  5 or more persons,480,550,505,910,720,830
Average size of census families,2.9,2.9,2.9,3.3,3.2,3.1
Total number of census families in private households - 25% sample data,6800,8025,7005,6855,4610,7200
  Total couple families,5435,6290,5470,5570,3490,5215
    Married couples,4970,5965,5135,5360,3305,4775
      With children,2870,3595,3035,3930,2345,3185
      Without children,2100,2370,2105,1425,955,1585
    Common-law couples,465,325,335,210,185,440
      With children,145,140,190,140,100,245
      Without children,325,190,145,65,85,205
  Total one-parent families,1365,1735,1535,1290,1120,1985
    in which the parent is a woman+,1105,1345,1160,1050,945,1680
    in which the parent is a man+,260,390,375,235,175,310
Average number of children in census families with children,1.6,1.6,1.6,1.9,1.9,1.8
Total - Income statistics for economic families in private households - 25% sample data,6545,7490,6480,5975,4295,6780
  Median total income of economic family in 2020 ($),88000,91000,83000,120000,92000,97000
  Average total income of economic family in 2020 ($),102200,105000,99000,130800,103100,108100
  Median after-tax income of economic family in 2020 ($),79500,83000,77000,107000,85000,88000
  Average after-tax income of economic family in 2020 ($),89100,92800,88100,114000,92800,96000
  Average family size of economic families,3.1,3.3,3.3,4,3.7,3.5
Total - Income statistics for economic families in private households - 25% sample data,1965,1865,1700,805,735,1395
  Median total income of couple-only economic family in 2020 ($),67500,64500,56400,83000,63200,66000
  Average total income of couple-only economic family in 2020 ($),79200,78900,70800,90800,71600,76200
  Median after-tax income of couple-only economic family in 2020 ($),60800,60400,52800,74000,57200,61200
  Average after-tax income of economic family in 2020 ($),67800,69200,62900,73400,63800,67400
  Average family size of couple-only economic families,2,2,2,2,2,2
Total - Income statistics for couple-with-children economic families in private households - 25% sample data,3015,3750,3245,4035,2450,3395
  Median total income of couple-with-children economic family in 2020 ($),106000,112000,105000,134000,108000,117000
  Average total income of couple-with-children economic family in 2020 ($),124100,124000,119400,144400,119100,128600
  Median after-tax income of couple-with-children economic family in 2020 ($),96000,100000,96000,119000,98000,104000
  Average after-tax income of couple-with-children economic family in 2020 ($),108100,109300,106100,126600,107300,113700
  Average family size of couple-with-children economic families,4.1,4.2,4.2,4.6,4.4,4.3
Total - Income statistics for one-parent economic families in private households - 25% sample data,1225,1415,1225,890,910,1680
  Median total income of one-parent economic family in 2020 ($),72000,76500,70500,91000,72500,79500
  Average total income of one-parent economic family in 2020 ($),81400,87200,81600,101800,85200,91100
  Median after-tax income of one-parent economic family in 2020 ($),67000,68000,64000,84000,69500,74000
  Average after-tax income of one-parent economic family in 2020 ($),73600,78100,73400,91200,77000,82200
  Average family size of one-parent economic families,2.6,2.8,2.7,3.2,3,3
Total - Knowledge of official languages for the population in private households - 25% sample data,24170,27540,23985,24940,17320,26095
  English only,19900,21080,17240,22475,15750,23990
  French only,0,15,10,15,25,25
  English and French,970,1105,575,1065,690,1085
  Neither English nor French,3295,5335,6160,1390,850,1000
Total - First official language spoken for the population in private households - 25% sample data,24170,27540,23985,24940,17320,26095
  English,20620,21905,17735,23350,16160,24665
  French,155,140,45,135,185,305
